country_name,year,GDP (Current USD),GDP per Capita (Current USD),GDP Growth (% Annual),Inflation (CPI %),Unemployment Rate (%),Gross National Income (USD),GDP (Billion USD),GNI (Billion USD)
United Arab Emirates,2010,300189052694.029,43696.6712597922,1.60285004844802,0.877983288285867,2.811,300105186118.127,300.189052694029,300.105186118127
United Arab Emirates,2011,360832739558.385,50789.0505418347,6.21612181337187,0.87734659568512,2.596,360968069714.954,360.832739558385,360.96806971495397
United Arab Emirates,2012,384610125384.033,52034.4762466073,1.82448078870188,0.662268900269009,2.327,384909648869.397,384.61012538403304,384.90964886939696
United Arab Emirates,2013,400218529747.597,52023.5170958751,5.05555965425988,1.1011183637571,2.126,400681429679.523,400.21852974759696,400.68142967952303
United Arab Emirates,2014,414105366758.911,51381.4069909213,4.16569184256178,2.34626865671643,2.002,414764318426.712,414.10536675891103,414.76431842671195
United Arab Emirates,2015,370275469560.166,43534.9972681733,6.78677287945216,4.06996608361593,1.793,372018151656.831,370.275469560166,372.018151656831
United Arab Emirates,2016,369255326235.771,41326.4018161834,5.56149075496799,1.61748808904198,1.64,371351990633.321,369.255326235771,371.351990633321
United Arab Emirates,2017,390516804016.501,42340.5917145576,0.735068713165646,1.96682557818842,2.462,393294203608.06,390.516804016501,393.29420360806
United Arab Emirates,2018,427049432149.345,45689.8570040215,1.31391388141118,3.06863379251997,2.236,428473530175.213,427.04943214934497,428.473530175213
United Arab Emirates,2019,417989721734.494,44251.4541390148,1.10834813893099,-1.93108114782173,2.331,420051262918.973,417.989721734494,420.051262918973
United Arab Emirates,2020,349473015336.939,37173.8754100281,-4.95705243652739,-2.07940317940944,4.294,347594186201.473,349.473015336939,347.594186201473
United Arab Emirates,2021,415178792769.884,43360.0211014806,4.35475529921305,0.179935336174431,3.105,414443598760.354,415.17879276988396,414.443598760354
United Arab Emirates,2022,502731935197.487,49899.0652978649,7.50969703221836,5.29122604376849,2.872,502786394013.008,502.731935197487,502.786394013008
United Arab Emirates,2023,514130432653.081,49040.6947525825,3.61870653547174,1.62670837213248,2.151,517969779147.295,514.130432653081,517.969779147295
United Arab Emirates,2024,401182624556.9017,46181.577188495525,3.2068860675462254,1.40537748378029,2.133,402100839280.2315,401.18262455690166,402.1008392802315
United Arab Emirates,2025,401182624556.9017,46181.577188495525,3.2068860675462254,1.40537748378029,2.4585999999999997,402100839280.2315,401.18262455690166,402.1008392802315
"Egypt, Arab Rep.",2010,218983666061.706,2455.08194645282,5.1472348575531,11.2651882653185,8.757,214618966061.706,218.983666061706,214.618966061706
"Egypt, Arab Rep.",2011,235989672977.625,2590.64384891965,1.7645719489982,10.0649259874818,11.849,229940172977.625,235.989672977625,229.940172977625
"Egypt, Arab Rep.",2012,279116666666.667,2996.0677072015,2.22619979863525,7.11172943343083,12.597,272637266666.667,279.116666666667,272.637266666667
"Egypt, Arab Rep.",2013,288434108527.132,3025.52563552448,2.18546605362143,9.46971981064921,13.154,281027708527.132,288.434108527132,281.027708527132
"Egypt, Arab Rep.",2014,305595408895.265,3133.39102265541,2.91591187985748,10.0702154687481,13.105,298332708895.265,305.595408895265,298.332708895265
